,en,ber,gv,jap,kj,kwn,lun,mos,ng,nyk,ss
0,"Is there a red sandal here?| bleu: 100.0, sim: 1.0","Is there stars around here?| bleu: 19.43, sim: 0.3499999940395355","Open a new tab| bleu: 7.55, sim: -0.05000000074505806","""Is there any red cedars?| bleu: 15.62, sim: 0.5199999809265137","Is there any other place in which you live?| bleu: 9.29, sim: 0.25","Is there a better place?| bleu: 27.48, sim: 0.41999998688697815","Has there ever been fire?| bleu: 8.17, sim: 0.25999999046325684","Is this unleavened bread?| bleu: 8.52, sim: 0.23000000417232513","Is there a figurative place?| bleu: 27.48, sim: 0.41999998688697815","Is there any powerful miracle?| bleu: 15.21, sim: 0.28999999165534973","Is There a Battle for People in the world?| bleu: 5.52, sim: 0.15000000596046448"
11,"Do you think these two boys are brothers?| bleu: 100.0, sim: 1.0","Are these two cats these girls?| bleu: 10.92, sim: 0.12999999523162842","Some of these are they are not from?| bleu: 6.27, sim: 0.15000000596046448","Do you think that these brothers a man's brother?| bleu: 18.58, sim: 0.9100000262260437","Do you think that these two sons are brothers?| bleu: 29.85, sim: 0.9800000190734863","Do you think of those two children?| bleu: 20.61, sim: 0.38999998569488525","Do you think that these two sons are boys?| bleu: 22.09, sim: 0.75","Do you think they are two young brothers?| bleu: 24.27, sim: 0.9599999785423279","Do you think that these two children are brothers?| bleu: 29.85, sim: 0.9599999785423279","Do you think of these two young children?| bleu: 23.36, sim: 0.3700000047683716","Do you think that the two of these brothers are brothers?| bleu: 22.78, sim: 0.9599999785423279"
12,"What drink is shown?| bleu: 100.0, sim: 1.0","What?| bleu: 0.0, sim: 0.4000000059604645","What is your Google ID?| bleu: 10.68, sim: 0.2199999988079071","What shall we drink? or what shall we drink?| bleu: 4.93, sim: 0.7699999809265137","What is involved in drinking alcohol?| bleu: 8.64, sim: 0.7799999713897705","What does it show?| bleu: 12.7, sim: 0.38999998569488525","What does it mean to drink alcoholic beverages?| bleu: 6.27, sim: 0.7699999809265137","What should we drink?| bleu: 14.06, sim: 0.7900000214576721","What are some features of this?| bleu: 7.81, sim: 0.4099999964237213","What does that mean?| bleu: 12.7, sim: 0.4099999964237213","What kind of drinking is revealed?| bleu: 8.64, sim: 0.8500000238418579"
13,"Is the bear sitting?| bleu: 100.0, sim: 1.0","Is there something wrong with a problem?| bleu: 6.57, sim: 0.25999999046325684","Cancel Owner Change?| bleu: 12.44, sim: 0.10999999940395355","""Do you sit to do the service of the ministry?| bleu: 4.03, sim: 0.20999999344348907","Is there someone sitting in front of the olive tree?| bleu: 5.3, sim: 0.4000000059604645","Who will sit in among them?| bleu: 6.57, sim: 0.4099999964237213","Have they lived for many years?| bleu: 6.57, sim: 0.11999999731779099","Where does he live?| bleu: 10.68, sim: 0.15000000596046448","Where would anyone sit down?| bleu: 8.12, sim: 0.46000000834465027","Do You Hear listening?| bleu: 10.68, sim: 0.1599999964237213","Are this slave working?| bleu: 10.68, sim: -0.09000000357627869"
14,"Is this man cooking at home?| bleu: 100.0, sim: 1.0","Is she in the room?| bleu: 8.17, sim: 0.2800000011920929","Why do this man?| bleu: 15.85, sim: 0.25","Is this man did eat in his house?| bleu: 19.07, sim: 0.75","Did her husband awake home?| bleu: 13.74, sim: 0.5099999904632568","the man who is driving a car?| bleu: 6.57, sim: 0.17000000178813934","Was that man focused on his own home?| bleu: 10.55, sim: 0.5199999809265137","Was that hell?| bleu: 7.55, sim: 0.18000000715255737","Was this man sitting in the house?| bleu: 12.22, sim: 0.6800000071525574","Does this man come home?| bleu: 19.43, sim: 0.4000000059604645","Would the man get home?| bleu: 15.21, sim: 0.3700000047683716"
15,"What are the men sitting on?| bleu: 100.0, sim: 1.0","Why are they looking for friends?| bleu: 7.81, sim: 0.12999999523162842","What is the greatest commandment?| bleu: 9.04, sim: 0.23000000417232513","Saying, Who is he that sitteth in the man? or where is he?| bleu: 2.91, sim: 0.6800000071525574","What are these men sitting on?| bleu: 48.89, sim: 0.9900000095367432","What do men know?| bleu: 9.42, sim: 0.6100000143051147","What should husbands do?| bleu: 8.52, sim: 0.47999998927116394","What is said in the illustration about those in heaven?| bleu: 4.93, sim: 0.20999999344348907","Where do men sit down?| bleu: 8.17, sim: 0.9100000262260437","What should husbands listen to?| bleu: 8.17, sim: 0.4300000071525574","What are men sitting with him?| bleu: 19.64, sim: 0.9399999976158142"
16,"What time is it?| bleu: 100.0, sim: 1.0","What time?| bleu: 0.0, sim: 0.9700000286102295","What is your Google ID?| bleu: 10.68, sim: 0.1899999976158142","How then can you do these things?| bleu: 5.52, sim: 0.2800000011920929","What time can help us?| bleu: 17.97, sim: 0.7599999904632568","When is the time to begin?| bleu: 8.64, sim: 0.7400000095367432","What was that time?| bleu: 14.06, sim: 0.8999999761581421","When?| bleu: 0.0, sim: 0.7599999904632568","When will the time be?| bleu: 9.65, sim: 0.800000011920929","What is the time?| bleu: 15.11, sim: 0.9100000262260437","What is that time?| bleu: 15.11, sim: 0.9399999976158142"
17,"Who are the men in black?| bleu: 100.0, sim: 1.0","Who's the black man dressed over there?| bleu: 7.27, sim: 0.8399999737739563","What is your Windows Live password?| bleu: 6.57, sim: 0.05000000074505806","Who is black among them? or who is black among them?| bleu: 4.07, sim: 0.699999988079071","Who are these men?| bleu: 17.03, sim: 0.7699999809265137","Who are the men who were qualified?| bleu: 36.56, sim: 0.47999998927116394","Who are the black men?| bleu: 30.41, sim: 0.9700000286102295","Who are these?| bleu: 16.7, sim: 0.5199999809265137","What was required of those men who were appointed to do?| bleu: 4.03, sim: 0.4300000071525574","Who is the man who is in danger?| bleu: 6.74, sim: 0.5099999904632568","Who are black and black?| bleu: 19.43, sim: 0.7599999904632568"
18,"Overcast or sunny?| bleu: 100.0, sim: 1.0","He is busy, isn't he?| bleu: 6.57, sim: 0.029999999329447746","Graphics applications| bleu: 0.0, sim: 0.2800000011920929","Does the sun go down with the sun? Or does it go down on the sun?| bleu: 2.15, sim: 0.5600000023841858","What about the sun and groups of people?| bleu: 4.77, sim: 0.5600000023841858","The Bible Changes Lives| bleu: 7.99, sim: 0.05999999865889549","Or what of the sun's Day?| bleu: 6.57, sim: 0.6200000047683716","Is the sun greater than the sun?| bleu: 5.52, sim: 0.5","Should you kill him or put him alive?| bleu: 5.67, sim: 0.10000000149011612","Do the sun, or does he have to be the only human race?| bleu: 3.13, sim: 0.23000000417232513","Is there a day or an hour?| bleu: 6.57, sim: 0.3799999952316284"
19,"Are the streetlamps on?| bleu: 100.0, sim: 1.0","Is it on the street?| bleu: 10.68, sim: 0.5600000023841858","Update Bookmark?| bleu: 0.0, sim: 0.28999999165534973","Will the streets be shut up in the streets?| bleu: 4.99, sim: 0.27000001072883606","Do some people who believe in evolution?| bleu: 5.52, sim: 0.11999999731779099","But would people who wanted to follow the command they had to follow?| bleu: 3.38, sim: 0.10000000149011612","Do the Dead Come on the street?| bleu: 7.27, sim: 0.3100000023841858","Is the way the way to life?| bleu: 6.57, sim: 0.30000001192092896","Is there a street place?| bleu: 8.12, sim: 0.5299999713897705","Is Peace Possible?| bleu: 12.44, sim: 0.23000000417232513","Is There a Good News?| bleu: 8.12, sim: 0.4000000059604645"
20,"What color is the man's jacket?| bleu: 100.0, sim: 1.0","What color is that red horse?| bleu: 26.27, sim: 0.3100000023841858","What is your Group?| bleu: 9.42, sim: 0.25999999046325684","What does the work of a man in what is the work of a man?| bleu: 5.82, sim: 0.25999999046325684","What does the shepherd wear?| bleu: 9.04, sim: 0.4399999976158142","What does a person wear?| bleu: 8.17, sim: 0.550000011920929","What is the government's government?| bleu: 16.34, sim: 0.10999999940395355","What is that?| bleu: 9.93, sim: 0.23000000417232513","What is required of an experienced man?| bleu: 7.27, sim: 0.15000000596046448","What are the eyes of people who are falling victim to darkness?| bleu: 4.07, sim: 0.1899999976158142","What is the lamb's lamb?| bleu: 16.34, sim: 0.1599999964237213"
21,"What food item is shown?| bleu: 100.0, sim: 1.0","What's left out of the left?| bleu: 6.57, sim: 0.20000000298023224","What is ID ID ID?| bleu: 10.68, sim: 0.2800000011920929","What does the food profit? Or what does it profit him, that he should be?| bleu: 2.83, sim: 0.5199999809265137","What food is revealed?| bleu: 20.8, sim: 0.8600000143051147","What are some things that prove to be?| bleu: 5.67, sim: 0.30000001192092896","What type of food is mentioned in the Bible?| bleu: 5.93, sim: 0.6499999761581421","What desirable things are revealed?| bleu: 9.65, sim: 0.36000001430511475","What fruitage do the fruitage of the holy spirit show?| bleu: 4.46, sim: 0.20000000298023224","Why is food important?| bleu: 11.51, sim: 0.699999988079071","What food is revealed?| bleu: 20.8, sim: 0.8600000143051147"
22,"Is there a dog?| bleu: 100.0, sim: 1.0","Is there a dog?| bleu: 100.0, sim: 1.0","What is youring password?| bleu: 10.68, sim: 0.17000000178813934","""Why do you want a dog to become a dog, since there is wood in the dogs?| bleu: 4.55, sim: 0.4099999964237213","Would the dead die?| bleu: 10.68, sim: 0.20999999344348907","Is there a road near Jerusalem?| bleu: 26.27, sim: 0.23000000417232513","Have you ever been there?| bleu: 9.65, sim: 0.3100000023841858","How can we be sure that Jehovah understands our situation?| bleu: 3.75, sim: 0.18000000715255737","Is there life?| bleu: 27.53, sim: 0.44999998807907104","Is there a windstorm?| bleu: 42.73, sim: 0.18000000715255737","Is Your Recreation Beneficial?| bleu: 12.7, sim: 0.1899999976158142"
23,"Is he a professional athlete?| bleu: 100.0, sim: 1.0","Is he a student?| bleu: 34.98, sim: 0.3700000047683716","Is it Running?| bleu: 11.52, sim: 0.2800000011920929","""Can a man look out to Hamath? Or will he see it?| bleu: 3.46, sim: 0.28999999165534973","How much experience do you have?| bleu: 6.57, sim: 0.41999998688697815","Is he the best Friend?| bleu: 17.97, sim: 0.4399999976158142","Are you an experienced preacher of entertainment?| bleu: 5.52, sim: 0.38999998569488525","Does he do all he can?| bleu: 7.81, sim: 0.3400000035762787","Was he a Roman citizen?| bleu: 17.97, sim: 0.28999999165534973","Did he love his life?| bleu: 9.65, sim: 0.47999998927116394","Do you have the ability to do so?| bleu: 4.77, sim: 0.3400000035762787"
24,"What is around the baby's neck?| bleu: 100.0, sim: 1.0","What's that baby's name?| bleu: 8.52, sim: 0.550000011920929","What is your Google ID?| bleu: 15.21, sim: 0.15000000596046448","For what have there on the head of a child, that he should be on the neck of a child?| bleu: 2.27, sim: 0.7599999904632568","What motivated the child to become more concerned?| bleu: 6.27, sim: 0.25","What makes him die?| bleu: 8.52, sim: 0.12999999523162842","What happens when the baby is born?| bleu: 7.81, sim: 0.5","What happens to the baby's neck?| bleu: 43.47, sim: 0.9100000262260437","What comes to mind?| bleu: 8.52, sim: 0.3100000023841858","What shows that the baby is in the womb?| bleu: 5.93, sim: 0.41999998688697815","How did the child walk?| bleu: 8.17, sim: 0.23999999463558197"
25,"What is around the man's neck?| bleu: 100.0, sim: 1.0","What was the man after the death?| bleu: 7.27, sim: 0.3199999928474426","Panel ID list?| bleu: 7.55, sim: 0.07999999821186066","Is there any thing on the neck of a man, or on the head of a man?| bleu: 2.66, sim: 0.7900000214576721","What made him all around him?| bleu: 8.64, sim: 0.30000001192092896","What makes a man die?| bleu: 8.17, sim: 0.20999999344348907","What is the condition of a person's eye?| bleu: 11.34, sim: 0.25","How extensive is the man's neck?| bleu: 43.47, sim: 0.8199999928474426","What comes to mind?| bleu: 8.52, sim: 0.30000001192092896","What shows that a humble person is humble?| bleu: 6.27, sim: 0.019999999552965164","What was the man's response?| bleu: 16.34, sim: 0.3199999928474426"
26,"Is that an airplane in the image?| bleu: 100.0, sim: 1.0","Is he at the meeting at the meeting?| bleu: 6.27, sim: 0.10000000149011612","What is your Facebook username?| bleu: 5.82, sim: 0.15000000596046448","""What value does the engraved image have, that its maker has set his engraved image on a tree?| bleu: 2.57, sim: 0.09000000357627869","Does this mean that when people picture a picture?| bleu: 4.99, sim: 0.25999999046325684","Are those in that country like God's image?| bleu: 11.34, sim: 0.17000000178813934","Are these pictures as a picture?| bleu: 5.69, sim: 0.2800000011920929","Does this image exist in a image?| bleu: 12.22, sim: 0.38999998569488525","Is that normal?| bleu: 13.01, sim: 0.2800000011920929","Would you like an airplane?| bleu: 12.87, sim: 0.8899999856948853","Is this similar to a wild ship?| bleu: 6.57, sim: 0.20000000298023224"
27,"What is on the boy's hand?| bleu: 100.0, sim: 1.0","Who found the dog?| bleu: 8.52, sim: 0.14000000059604645","Disconnected disconnected| bleu: 0.0, sim: 0.03999999910593033","What does the boy's hand have in the hand of the child?| bleu: 13.07, sim: 0.8500000238418579","How would a boy's son be?| bleu: 7.81, sim: 0.47999998927116394","What should a boy do?| bleu: 8.17, sim: 0.4699999988079071","What can this young person do?| bleu: 7.81, sim: 0.44999998807907104","What about the child's right hand?| bleu: 15.62, sim: 0.7400000095367432","What would the boy do?| bleu: 9.04, sim: 0.46000000834465027","What is a young man like?| bleu: 14.54, sim: 0.5199999809265137","What is the child's hand?| bleu: 20.55, sim: 0.8199999928474426"
28,"Are there bicycles?| bleu: 100.0, sim: 1.0","Are three bicycles?| bleu: 35.36, sim: 0.7799999713897705","Are you sure you want to clear the list of locations you have visited?| bleu: 3.13, sim: 0.12999999523162842","Where could the lightning blow? Or where were the war?| bleu: 3.39, sim: 0.17000000178813934","How much are the birds of birds?| bleu: 5.52, sim: 0.23999999463558197","Will God's Word Be found?| bleu: 8.12, sim: 0.1899999976158142","Did they stand up?| bleu: 10.68, sim: 0.25","Is there anything that makes life happy?| bleu: 6.57, sim: 0.2800000011920929","Do you have a place where spirit creatures live?| bleu: 4.2, sim: 0.18000000715255737","Is there any mouth mouth?| bleu: 9.65, sim: 0.23999999463558197","Are we able to carry out our ministry?| bleu: 5.67, sim: 0.14000000059604645"
29,"Is the umpire at home plate?| bleu: 100.0, sim: 1.0","Is this the meeting room?| bleu: 9.04, sim: 0.2199999988079071","? bytes| bleu: 0.0, sim: 0.05000000074505806","Is the rock smooth in a house? or is the rock come into an house?| bleu: 5.06, sim: 0.18000000715255737","Is it dangerous to go home?| bleu: 8.64, sim: 0.07000000029802322","Has it caused us to return home?| bleu: 6.57, sim: 0.12999999523162842","Do many people read their own mistakes?| bleu: 5.52, sim: -0.019999999552965164","But do they have a family?| bleu: 6.57, sim: 0.17000000178813934","Was she sad when preaching from door to door?| bleu: 4.2, sim: -0.03999999910593033","Could a Kingdom Hall begin at the Kingdom Hall?| bleu: 5.52, sim: 0.10000000149011612","Jean - Claude moved to his home?| bleu: 6.57, sim: 0.20999999344348907"
30,"Are there stones behind the bear?| bleu: 100.0, sim: 1.0","Were there stars on the stars?| bleu: 8.64, sim: 0.2199999988079071","Orientation| bleu: 0.0, sim: 0.1899999976158142","Can a stone be plowed by such a stone?| bleu: 4.2, sim: 0.5899999737739563","Do you have such doubts?| bleu: 6.87, sim: 0.27000001072883606","Is there any type of stones that are growing?| bleu: 5.52, sim: 0.49000000953674316","Has there ever been stones?| bleu: 9.04, sim: 0.6399999856948853","Is there a stones for stones?| bleu: 8.64, sim: 0.6700000166893005","Is there a bucket that you have?| bleu: 6.57, sim: 0.25","Will he go about a boat and go back to it?| bleu: 3.39, sim: -0.03999999910593033","Is there any stones?| bleu: 9.42, sim: 0.7099999785423279"
31,"Do they appear to be competing against each other?| bleu: 100.0, sim: 1.0","Why don't they seem perfectly look?| bleu: 5.09, sim: 0.14000000059604645","Abort pending downloads?| bleu: 3.56, sim: 0.15000000596046448","Shall they therefore despise one another? shall they therefore despise one another?| bleu: 3.38, sim: 0.3199999928474426","Are they seemed to promote peace among them?| bleu: 5.61, sim: 0.25999999046325684","Is it wrong to resolve problems?| bleu: 5.09, sim: 0.41999998688697815","Were they viewed as looking after them?| bleu: 5.11, sim: 0.36000001430511475","Do they feel that they are not united?| bleu: 9.44, sim: 0.5400000214576721","Do they appear to be conflicts?| bleu: 41.92, sim: 0.6399999856948853","Are such individuals right and wrong?| bleu: 4.28, sim: 0.30000001192092896","Do they seem to be able to associate with others?| bleu: 11.21, sim: 0.4300000071525574"
32,"Is a website sponsoring this game?| bleu: 100.0, sim: 1.0","Will the game be game game?| bleu: 13.13, sim: 0.4099999964237213","Was this review helpful?| bleu: 8.52, sim: 0.3700000047683716","Shall not the innocent speak this to him?| bleu: 5.67, sim: 0.10999999940395355","Is there a Web site supported by this organization?| bleu: 5.93, sim: 0.75","Are you following the Internet?| bleu: 6.87, sim: 0.5799999833106995","Does the website appeal to these entertainment?| bleu: 6.57, sim: 0.6200000047683716","Is it a matter of recreation?| bleu: 8.64, sim: 0.38999998569488525","Does this website have jw.org?| bleu: 7.27, sim: 0.41999998688697815","Do you have access to this Web site?| bleu: 5.67, sim: 0.6499999761581421","the website jw.org?| bleu: 8.17, sim: 0.3499999940395355"
33,"What color is the court?| bleu: 100.0, sim: 1.0","What color did the house color?| bleu: 15.62, sim: 0.5","Download Movie Subtitles| bleu: 0.0, sim: 0.05000000074505806","And what is the last thing that was done in the court?| bleu: 13.67, sim: 0.38999998569488525","What were the prosecutor's radio station?| bleu: 8.64, sim: 0.30000001192092896","What can we learn from this?| bleu: 7.81, sim: 0.27000001072883606","What is the court?| bleu: 57.89, sim: 0.7599999904632568","What kind of people were judges?| bleu: 7.81, sim: 0.5","What should a person do in court?| bleu: 12.22, sim: 0.6200000047683716","What does that mean?| bleu: 10.4, sim: 0.4000000059604645","What is the law of court?| bleu: 19.64, sim: 0.550000011920929"
34,"What color are the plants?| bleu: 100.0, sim: 1.0","What color did the nails color?| bleu: 15.62, sim: 0.36000001430511475","Are the properties of the blind?| bleu: 7.81, sim: 0.28999999165534973","For what do the grass desireth, that the grass hath after it?| bleu: 3.38, sim: 0.5","What is the type of plants like?| bleu: 7.81, sim: 0.8799999952316284","What was it?| bleu: 11.52, sim: 0.25999999046325684","What are these plants?| bleu: 20.8, sim: 0.8600000143051147","What is the seed?| bleu: 11.51, sim: 0.5199999809265137","Third, what are plants like?| bleu: 8.64, sim: 0.7599999904632568","What is the wind?| bleu: 11.51, sim: 0.3199999928474426","What trees?| bleu: 0.0, sim: 0.5299999713897705"
35,"Is the man sleeping?| bleu: 100.0, sim: 1.0","Who's watching the boy?| bleu: 12.7, sim: 0.27000001072883606","????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????| bleu: 0.07, sim: 0.2199999988079071","Can a man sleep with his sleep?| bleu: 6.57, sim: 0.8899999856948853","Did he sleep?| bleu: 12.44, sim: 0.9300000071525574","Does that man sleep?| bleu: 12.7, sim: 0.9800000190734863","Did the man wake up?| bleu: 17.97, sim: 0.41999998688697815","Is the Man sleeping?| bleu: 30.21, sim: 1.0","Did a man sleep?| bleu: 12.7, sim: 0.9700000286102295","Is a man asleep?| bleu: 14.06, sim: 0.9700000286102295","Is there someone who sleeps?| bleu: 9.65, sim: 0.8500000238418579"
36,"Would this be considered an old fashion bathroom?| bleu: 100.0, sim: 1.0","Is it true that black room black?| bleu: 4.87, sim: 0.23000000417232513","""%s"" is this review?| bleu: 5.8, sim: 0.25","Are you old, when you are old? Or do the righteous pass over to you?| bleu: 2.55, sim: 0.4399999976158142","Is it reasonable to think that way?| bleu: 4.87, sim: 0.20999999344348907","Is it possible for us to accept bad habits?| bleu: 4.2, sim: 0.15000000596046448","Would that happen if a person is old?| bleu: 6.27, sim: 0.5899999737739563","Would such a thing be viewed as an act of action in ancient times?| bleu: 3.72, sim: 0.38999998569488525","Would this be viewed as normal?| bleu: 19.74, sim: 0.3199999928474426","Could this be dangerous?| bleu: 10.62, sim: 0.18000000715255737","Would this be like oil?| bleu: 19.69, sim: 0.3100000023841858"
