,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
10,"('How do you turn on the cold water?', 1.0)","('How do you turn on cold water?', 0.99)","('How do you turn the cold water on?', 0.97)","('How do you turn cold water on?', 0.96)","('How do you turn the cold water?', 0.96)","('How to turn on cold water?', 0.96)","('How can you turn on cold water?', 0.95)","('How do you turn to the cold water?', 0.93)","('How do you turn to cold water?', 0.92)","('How do you turn to this cold water?', 0.91)","('How can you turn to the cold water?', 0.91)","('How do you turn in cold water?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"('Do you think the two boys are brothers?', 1.0)","('Do you think that these two boys are brothers?', 1.0)","('Do you think these two boys are brothers?', 1.0)","('Do you think those two boys are brothers?', 1.0)","('You think these two boys are brothers?', 0.99)","('Do you think that these two boys were brothers?', 0.99)","('Do you think these two boys were brothers?', 0.99)","('Do you think these two young men are brothers?', 0.99)","('Do you believe that these two sons are brothers?', 0.98)","('Do you think these two sons are brothers?', 0.98)","('Do you think that the two young men are brothers?', 0.98)","('Do you think that both boys are brothers?', 0.98)","('Do you think that these two sons are brothers?', 0.98)","('Do you think these two guys are brothers?', 0.98)","('Do you think these boys are brothers?', 0.98)","('You think those two boys are brothers?', 0.98)","('Do you think that these boys were brothers?', 0.98)","('Do you think of these boys as brothers?', 0.97)","('Are these two boys brothers?', 0.97)","('Do you think of these two sons as brothers?', 0.97)","('Do you think that these two men are brothers?', 0.97)","('Do you think that these two sons were brothers?', 0.97)","('Do you think these boys were brothers?', 0.97)","('Do you think these two children are brothers?', 0.96)","('Do you think that the two of these brothers are brothers?', 0.96)","('You think those two guys are brothers?', 0.96)","('Do you think that these two brothers are brothers?', 0.96)","('Do you think these young men were brothers?', 0.96)","('Do you think they are two young brothers?', 0.96)","('Do you think these two brothers were brothers?', 0.96)","('You think these two guys are brothers?', 0.96)","('Do you feel that these two children are brothers?', 0.96)","('Do you think that these two children are brothers?', 0.96)","('Do you think these two men were brothers?', 0.96)","('You think these guys are brothers?', 0.96)","('How do you think these two men were brothers?', 0.95)","('Do you think that they are brothers?', 0.94)","('Do you think they are their two brothers?', 0.93)","('Do you think these two brothers were?', 0.93)","(""Do you think that these brothers a man's brother?"", 0.91)","('Do you think of these two brothers?', 0.91)"
12,"('What drink is shown?', 1.0)","('What drink was shown?', 0.99)","('What kind of drink is shown?', 0.98)","('What drink is being shown?', 0.97)","('What is the drink shown?', 0.96)","('Which drink is shown?', 0.95)","('What drink is represented?', 0.94)","('What drink is indicated?', 0.94)","('What drinks are shown?', 0.94)","('What kind of drink is presented?', 0.94)","('What drinking is shown?', 0.93)","('What drinking was shown?', 0.93)","('What drinks are indicated?', 0.92)","('What kind of drink is displayed?', 0.92)","('What drink are they showing?', 0.92)","(""What's the drink showing?"", 0.91)","('What kind of drinking is displayed?', 0.91)","('What kind of drink are you presenting?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,
13,"('Is the bear sitting?', 1.0)","('Is the bear sit?', 0.99)","('Does the bear sit?', 0.98)","('Is the bear seated?', 0.98)","('Was the bear seated?', 0.98)","('Is the bear sitting down?', 0.97)","('Is that the bear sitting down?', 0.96)","('Does the bear sit down?', 0.95)","('Has the bear been seated?', 0.95)","('Has the bear sat down?', 0.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"('Is the man cooking at home?', 1.0)","('Was this man cooking at home?', 1.0)","('Is this guy cooking at home?', 1.0)","('Is this man cooking at home?', 1.0)","('Is this man at home cooking?', 0.99)","('Is the man being cooking at home?', 0.99)","('Does this man cook at home?', 0.98)","('Is this a man cook at home?', 0.98)","('Did the man cook at home?', 0.98)","('Does the man cook at home?', 0.98)","('Is the man cooking food at home?', 0.97)","('Was the man cooking at his home?', 0.97)","('Was he cooking at home?', 0.96)","('Does he cook at home?', 0.96)","('Did he cook at home?', 0.95)","('Does the man cook a meal at home?', 0.95)","('Was the man making cooking at home?', 0.95)","('Is this man home cooking?', 0.95)","('Is this guy cooking in the house?', 0.94)","('This man cooks at home?', 0.94)","('Does this person cook at home?', 0.91)",,,,,,,,,,,,,,,,,,,,
15,"('What are the men sitting on?', 1.0)","('What are these men sitting on?', 0.99)","('What do the men sit on?', 0.98)","('What are men sitting on?', 0.98)","('What were these men sitting on?', 0.98)","('What did the men sit on?', 0.97)","('What do men sit on?', 0.97)","('What are the men sitting on it?', 0.97)","('What men were sitting on what?', 0.96)","('What are those guys sitting on?', 0.96)","('What were the men sitting on it?', 0.96)","('What men sit on?', 0.96)","('On what do these men sit?', 0.95)","('What were the men sitting?', 0.95)","('On what do the men sit?', 0.95)","('What are the men sitting down?', 0.94)","('For what are men sitting?', 0.94)","('What are the men who were seated on?', 0.94)","('On what are those men seated?', 0.94)","('What are men sitting with him?', 0.94)","('What are the men sitting in?', 0.93)","('On what were these men seated?', 0.93)","('On what did the men sit?', 0.93)","('What are the men who sit down?', 0.92)","('What men are seated?', 0.92)","('What were the men sitting down?', 0.92)","('Where are the men sitting?', 0.92)","('What are the men sitting about?', 0.92)","('What are these men sitting down?', 0.92)","('What were the men seated?', 0.92)","('What are those men sitting down?', 0.92)","('What were the men sitting there?', 0.91)","('What are men sitting in front of us?', 0.91)","('Where are the men seated?', 0.91)","('To what were those men seated?', 0.91)","('What were men sitting there?', 0.91)","('Where do men sit down?', 0.91)",,,,
16,"('What time is it?', 1.0)","('What time is that?', 0.99)","('What time is this?', 0.98)","('What time was that?', 0.97)","('What time?', 0.97)","('What is that time?', 0.94)","('What is the time?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"('Who are the men in black?', 1.0)","('Who were the men in black?', 0.99)","('Who are the men who are in black?', 0.98)","('Who are those men in black?', 0.98)","('Who are men in black?', 0.98)","('Who are the men black?', 0.97)","('Who are the black men?', 0.97)","('Who were the black men?', 0.96)","('Who are black men?', 0.96)","('Who are men of black?', 0.96)","('Who are these black men?', 0.96)","('Who Are black men?', 0.96)","('Who are those black men?', 0.96)","('Who were black men?', 0.95)","('Who are the men black men?', 0.95)","(""Who's the man in black?"", 0.95)","('Who were these black men?', 0.95)","('Who are the men among the black people?', 0.93)",,,,,,,,,,,,,,,,,,,,,,,
18,"('Overcast or sunny?', 1.0)","('The sky overcast or sunny?', 0.96)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"('Are the streetlamps on?', 1.0)","('Are the street lights on?', 0.92)","('Are the street lamps on?', 0.92)","('Is the streetlight on?', 0.91)","('Are the streetlights on?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"(""What color is the man's jacket?"", 1.0)","(""What color is that man's jacket?"", 1.0)","(""What color was that man's jacket?"", 0.99)","(""What color is a man's jacket?"", 0.99)","(""What color does the man's jacket have?"", 0.99)","(""What color is man's jacket?"", 0.99)","(""What was the color of a man's jacket?"", 0.98)","(""What was the color of this man's jacket?"", 0.98)","('What color is his jacket?', 0.97)","('What color is the male jacket?', 0.95)","('What is the color of the male jacket?', 0.94)","('What color is the jacket man?', 0.94)","('What color is the jacket?', 0.93)","('What color is that jacket?', 0.92)","(""What color is the man's coat?"", 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,
21,"('What food item is shown?', 1.0)","('What food items are shown?', 0.98)","('What is the food item shown?', 0.98)","('Which food item is displayed?', 0.97)","('What food item is displayed?', 0.97)","('What food is shown?', 0.95)","('Which food item will be shown?', 0.94)","('What kind of food is shown?', 0.94)","('What food is presented?', 0.93)","('What food is represented?', 0.93)","('What food was shown?', 0.93)","('What food element is shown?', 0.92)","('What food is indicated?', 0.92)","('What food is mentioned?', 0.91)","('What food is being shown?', 0.91)","('What food was manifested?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,
22,"('Is there a dog?', 1.0)","('Is there a dog here?', 0.97)","('Was it a dog?', 0.96)","('Is a dog?', 0.95)","('Do you have a dog?', 0.95)","('Is there a dog in it?', 0.95)","('Does the dog have a dog?', 0.95)","('Does he have a dog?', 0.94)","(""Isn't there a dog?"", 0.94)","('Is there a dogs?', 0.94)","('Is there a dog in there?', 0.93)","('Are there dogs?', 0.93)","('Is the dog?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"('Is he a professional athlete?', 1.0)","('Was he a professional athlete?', 0.99)","('Is it a professional athlete?', 0.95)","('Is that a professional athlete?', 0.94)","('Are you a professional athlete?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"(""What is around the baby's neck?"", 1.0)","(""What's around the baby's neck?"", 1.0)","(""What is on the baby's neck?"", 0.97)","(""What was on the baby's neck?"", 0.96)","(""What's on the baby's neck?"", 0.96)","(""What's in the baby's neck?"", 0.96)","(""What is in a baby's neck?"", 0.95)","(""What's with the baby's neck?"", 0.94)","(""What's the baby's neck?"", 0.94)","(""What's around the child's neck?"", 0.94)","(""What is around the child's neck?"", 0.94)","(""What is there about a baby's neck?"", 0.94)","(""What was there about the infant's neck?"", 0.94)","(""What is on the child's neck?"", 0.93)","(""What is involved in the baby's neck?"", 0.93)","(""What surrounds a child's neck?"", 0.92)","(""What surrounded the child's neck?"", 0.92)","('What is it that is all around the neck of the baby?', 0.92)","(""What's on the kid's neck?"", 0.92)","('What is the neck of the baby?', 0.92)","(""What is in the child's neck?"", 0.92)","(""What is about the child's neck?"", 0.92)","(""What is involved in the child's neck?"", 0.91)","(""What is on a child's neck?"", 0.91)","(""What is happening to the baby's neck?"", 0.91)","(""What happens to the baby's neck?"", 0.91)","(""What is the child's neck?"", 0.91)","(""What is next to the child's neck?"", 0.91)",,,,,,,,,,,,,
25,"(""What is around the man's neck?"", 1.0)","(""What's around the man's neck?"", 1.0)","(""What's around that man's neck?"", 0.99)","(""What was around the man's neck?"", 0.99)","(""What is on the man's neck?"", 0.96)","(""What surrounds the man's neck?"", 0.96)","(""What's around his neck?"", 0.96)","(""What is it that surrounds the man's neck?"", 0.96)","(""What is in the man's neck?"", 0.95)","(""What surrounds this man's neck?"", 0.95)","(""What is here on the man's neck?"", 0.95)","(""What was on the man's neck?"", 0.95)","(""What's on the man's neck?"", 0.95)","(""What surrounded the man's neck?"", 0.94)","(""What is it about the man's neck?"", 0.94)","(""What's on that guy's neck?"", 0.94)","(""What is in man's neck?"", 0.93)","(""What is next to the man's neck?"", 0.93)","(""What is a man's neck?"", 0.92)","(""What's with the man's neck?"", 0.92)","('What does the man do on his neck?', 0.92)","(""What is the man's neck?"", 0.92)","(""What's the man's neck?"", 0.92)","(""What's on his neck?"", 0.92)","(""What is this man's neck?"", 0.92)","(""What features of the man's neck?"", 0.92)","(""What's that man got on his neck?"", 0.91)","(""What was the man's neck?"", 0.91)","(""What about the man's neck?"", 0.91)",,,,,,,,,,,,
26,"('Was that an airplane in the image?', 1.0)","('Is that an airplane in the image?', 1.0)","('Is that an airplane in the picture?', 0.99)","('Was it an airplane in this image?', 0.99)","('Was that airplane in the image?', 0.99)","('Is it an airplane in the image?', 0.99)","('Is that an airplane of the image?', 0.99)","('Is this an airplane in the picture?', 0.98)","('Is it an airplane in an image?', 0.98)","('Was the airplane an airplane in the image?', 0.97)","('Are the airplane in the image?', 0.97)","('Is there an airplane in the picture?', 0.97)","('Is this an airplane to the image?', 0.96)","('Is that like an airplane?', 0.95)","('Is it an airplane?', 0.95)","('Was this a plane in the image?', 0.95)","('Does that airplane operate in the picture?', 0.94)","('Is that a plane on the picture?', 0.94)","('Is this a plane on the picture?', 0.94)","('Is that a plane in the picture?', 0.94)","('Was it a plane on the image?', 0.94)","('Is it a plane in the picture?', 0.94)","('Is this a plane on the image?', 0.94)","('Was the plane in the image?', 0.94)","('Is that a plane in the image?', 0.93)","('Is this a plane in the image?', 0.93)","('Is it a plane in the image?', 0.93)","('Is he an airplane in the image?', 0.93)","('Is it the plane in the picture?', 0.93)","('Is that the plane in the picture?', 0.93)","('Is that a plane in that image?', 0.93)","('Is there a plane in the image?', 0.92)","('Is the plane in the image?', 0.92)","('Is that a picture of a plane?', 0.92)","('Is it the plane in the image?', 0.92)","('Is it a photo - like airplane?', 0.91)","('Is that what the plane is in the image?', 0.91)","('Is that a plane?', 0.91)",,,
27,"(""What is on the boy's hand?"", 1.0)","(""What was on the boy's hand?"", 0.99)","(""What's on the boy's hand?"", 0.99)","(""What is the boy's hand?"", 0.95)","(""What is in the boy's hand?"", 0.94)","(""What is at the boy's hand?"", 0.94)","(""What was the boy's hand?"", 0.94)","(""What about the boy's hand?"", 0.94)","(""What's in the boy's hand?"", 0.94)","(""What's at the boy's hand?"", 0.93)","(""What was in the boy's hand?"", 0.93)","(""What's over the boy's hand?"", 0.91)","(""What is this young man's hand?"", 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"('Are there bicycles?', 1.0)","('Are There bicycles?', 1.0)","('Are There Bicycles?', 1.0)","('Are there bicycles in there?', 0.95)","('Is there bicycle?', 0.92)","('Are there bikes?', 0.92)","('Is there bikes?', 0.92)","('Is there a bicycle?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"('Is the umpire at home plate?', 1.0)","('Is the umpire on the plate at home?', 0.97)","('Is there a umpire on the plate at home?', 0.96)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"('Are there stones behind the bear?', 1.0)","('Is there stones behind the bear?', 1.0)","('Is there stones behind a bear?', 0.99)","('Are there stones behind a bear?', 0.99)","('Are there any stones behind the bear?', 0.98)","('Are there stones behind that bear?', 0.98)","('Have stones behind the bear?', 0.97)","('Were some stones behind the bear?', 0.97)","('Is there any stone behind the bear?', 0.94)","('Is there a stone behind the bear?', 0.93)","('Are There Stones for the Bear?', 0.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"('Do they appear to be competing against each other?', 1.0)","('Do they seem to be competing against each other?', 0.99)","('Do they seem to be competing against one another?', 0.99)","(""Does it look like they're competing against each other?"", 0.98)","('Would they seem to be competing against each other?', 0.98)","('Do they seem to compete against each other?', 0.97)","('Do they seem to compete against one another?', 0.97)","(""Do they look like they're competing against each other?"", 0.97)","('Do they compete against one another?', 0.95)","('Are they like to compete against each other?', 0.94)","('Do they seem to be competing with each other?', 0.94)","(""Does it look like they're competing with each other?"", 0.93)","('Do they seem to be competing?', 0.93)","('Do they seem to be competing with one another?', 0.92)","(""Does it sound like they're competing with each other?"", 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,
32,"('Is a website sponsoring this game?', 1.0)","('Is the website sponsoring this game?', 0.99)","('Does a website sponsor this game?', 0.96)","('Does the website sponsor this game?', 0.95)","('Is the website a sponsor of this game?', 0.95)","('Is this game sponsoring website?', 0.94)","('A website sponsors this game?', 0.94)","('Does this game sponsor a website?', 0.94)","('The website is sponsoring this game?', 0.94)","('Do website sponsor this game?', 0.93)","('Is it a website that sponsors this game?', 0.92)","('Is this a sponsored website for this game?', 0.92)","('Are we sponsoring this game on the website?', 0.92)","('Is there a website that sponsored this game?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"('What color is the court?', 1.0)","('What color was the court?', 0.99)","('Which color is the court?', 0.98)","('What color does the Court have?', 0.97)","('What color does the court have?', 0.97)","('What color do the court have?', 0.96)","('What color does this court have?', 0.96)","('What is the color of the court?', 0.96)","('What color is there in the court?', 0.95)","('What was the color of the court?', 0.95)","(""What is the court's color?"", 0.95)","('What is the court color?', 0.94)","('What color did the court have?', 0.94)","('What color does the court represent?', 0.93)","('What color is the court color?', 0.93)","('What is this court color?', 0.92)","('What was the color of the courts?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,
34,"('What color is the plants?', 1.0)","('What color are the plants?', 1.0)","('What color are plants?', 0.99)","('What color are these plants?', 0.99)","('What color is the plant?', 0.98)","('What color do the plants have?', 0.98)","('What color do these plants have?', 0.98)","('What color is there for plants?', 0.97)","('What color do those plants have?', 0.97)","('What color do plants have?', 0.97)","('What are the color of plants?', 0.96)","('What is the color of plants?', 0.96)","('What is the color of the plant?', 0.95)","('What is the colour of the plants?', 0.94)","('What colour is a plant?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,
35,"('Is the Man sleeping?', 1.0)","('Is this man sleeping?', 1.0)","('Is the man sleeping?', 1.0)","('Was the man sleeping?', 0.99)","('Is that man sleeping?', 0.99)","('Was this man sleeping?', 0.99)","('Was that man sleeping?', 0.99)","('Is man sleeping?', 0.99)","('Is the man sleep?', 0.99)","('Did the man sleep?', 0.98)","('Does that man sleep?', 0.98)","('Is the man asleep?', 0.98)","('Does the man sleep?', 0.98)","('Is he sleeping?', 0.98)","('Was the man asleep?', 0.97)","('Is man asleep?', 0.97)","('Is this man asleep?', 0.97)","('The man sleeping?', 0.97)","('Is that man asleep?', 0.97)","('Was that man asleep?', 0.97)","('Is a man asleep?', 0.97)","('Do the man sleeps?', 0.97)","('Is the guy asleep?', 0.97)","('Did this man sleep?', 0.97)","('Was he sleeping?', 0.97)","('Did a man sleep?', 0.97)","('Is that guy asleep?', 0.96)","('Does man sleep?', 0.96)","('The man sleeps?', 0.96)","('Does he sleep?', 0.95)","('Is he asleep?', 0.94)","('Did he sleep?', 0.93)","('Did man fall asleep?', 0.93)","('Was he asleep?', 0.93)","('Is the person sleeping?', 0.91)",,,,,,
36,"('Would it be considered an old fashion bathroom?', 1.0)","('Would this be considered an old fashion bathroom?', 1.0)","('Would that be considered an old fashion bathroom?', 1.0)","('Will that be considered as an old fashion bathroom?', 0.99)","('Is this considered an old fashion bathroom?', 0.99)","('Does this count as an old fashion bathroom?', 0.97)","('Would this be considered an old bathroom?', 0.97)","('Could this be considered an old bathroom of fashion?', 0.97)","('Would this be viewed as an old bathroom?', 0.96)","('Would it be considered an old bathroom?', 0.96)","('Would this be considered an old-fashioned bathroom?', 0.96)","('Would this be considered an old - fashioned bathroom?', 0.96)","('Would that be considered an old fashioned bathroom?', 0.95)","('Could it be considered an old bathroom?', 0.95)","('Is it considered an old bathroom?', 0.95)","('Would this be considered an old fashion bath room?', 0.94)","('Would this be viewed as an old fashion toilet?', 0.93)","('Was it an old bathroom?', 0.93)","('Will it be considered an old fashion bathtub?', 0.93)","('Would this be an old fashion bath room?', 0.92)","('Would this be considered an old fashion bath?', 0.91)",,,,,,,,,,,,,,,,,,,,
37,"('What kind of cat is that?', 1.0)","('What kind of cat is it?', 0.99)","('What kind of cat is this?', 0.99)","('What kind of a cat is that?', 0.99)","('What kind of cat?', 0.98)","('What is this cat?', 0.96)","(""Who's that cat?"", 0.93)","('What cat?', 0.93)","('Is that a cat?', 0.93)","('What kind of cats?', 0.92)","(""Who's the cat?"", 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"('What is the color of the bears apron?', 1.0)","(""What's the color of the bears' apron?"", 0.97)","(""What's the color of the bear apron?"", 0.96)","('What is the color of the bear apron?', 0.96)","('What is the color of the apron bears?', 0.94)","('What color is the apron of bears?', 0.94)","(""What's the color of bear apron?"", 0.94)","('What color is the bear apron?', 0.94)","(""What color is the bear's apron?"", 0.93)","(""What's the colour of the bear apron?"", 0.93)","('What is the colour of the bear apron?', 0.93)","('What is the colour of the apron for bears?', 0.93)","('What color is a bear apron?', 0.92)","('What is the color of the apron bear?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"('Are the windows of the building open?', 1.0)","('Is the windows of the building open?', 1.0)","('Are the windows of a building open?', 0.99)","('Are the windows in the building open?', 0.99)","('Are the windows to the building open?', 0.99)","('Are windows of building open?', 0.98)","('Is the building windows open?', 0.98)","('Are the windows open in the building?', 0.98)","('Are the building windows open?', 0.98)","('Did the windows in the building open?', 0.97)","('Were the building windows open?', 0.97)","('The windows of the building are open?', 0.96)","('Can the windows of a building be open?', 0.96)","('Are the windows open to the building?', 0.95)","('Are building windows open?', 0.93)","('Is the windows open?', 0.92)","('Is the windows of the hall open?', 0.92)","('Are the windows open?', 0.92)","('Were the windows open?', 0.92)","('Are windows open?', 0.91)","('Are the windows of the construction work open?', 0.91)",,,,,,,,,,,,,,,,,,,,
40,"('Where is the mirror?', 1.0)","(""Where's the mirror?"", 0.99)","('Where is this mirror?', 0.98)","('Where is a mirror?', 0.98)","('Where was the mirror?', 0.98)","('Where is mirror?', 0.97)","('Where was a mirror?', 0.97)","('Where was this mirror?', 0.97)","('Where is the mirror located?', 0.93)","('What is the mirror?', 0.92)","('Where does the mirror contain a mirror?', 0.92)","('Where do you find a mirror?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"('Is this picture real?', 1.0)","('Is this photo real?', 0.97)","('Is this real picture?', 0.96)","('Does this be a real picture?', 0.95)","('Is this image real?', 0.95)","('Is the image real?', 0.95)","('Is that real picture?', 0.94)","('Is this picture true?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"('What is wrapped around the sandwich?', 1.0)","(""What's wrapped around the sandwich?"", 0.99)","('What is wrapped in the sandwich?', 0.98)","(""What's wrapped around a sandwich?"", 0.98)","(""What's involved in the sandwich?"", 0.91)","(""What's around the sandwich?"", 0.91)","(""What's entangled in the sandwich?"", 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"('What is the cat doing?', 1.0)","(""What's the cat doing?"", 1.0)","(""What's a cat doing?"", 0.98)","(""What's that cat doing?"", 0.98)","('What does this cat do?', 0.96)","('What does a cat do?', 0.96)","('What does the cat do?', 0.95)","('What did the cat do?', 0.94)","('What are the cats doing?', 0.93)","('What is the cat to do?', 0.93)","('What cat is the cat?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"('Is the baby wearing stripes?', 1.0)","('Does the baby wear stripes?', 0.99)","('Is the baby with stripes?', 0.98)","('Is the baby wearing the stripes?', 0.98)","('Is the child wearing stripes?', 0.95)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"('What is the girl standing on?', 1.0)","(""What's the girl standing on?"", 0.99)","(""What's that girl standing on?"", 0.97)","(""What's the girl stood on?"", 0.96)","('What is the girl standing?', 0.96)","(""What's the girl standing at?"", 0.95)","(""What's she standing on?"", 0.95)","('What was the girl standing?', 0.94)","('What is the woman standing?', 0.94)","('What is the girl standing before?', 0.93)","(""Who's the girl standing?"", 0.92)","(""What's the girl standing in?"", 0.92)","('On what was she standing?', 0.91)","('On whom does this girl stand?', 0.91)","('What girl was standing there?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,
46,"('Are there any people?', 1.0)","('Is there any people?', 0.99)","('Are there people?', 0.96)","('Are there any people here?', 0.95)","('Is there a people?', 0.94)","('Are there people there?', 0.94)","('Is there people?', 0.94)","('Are there some people?', 0.93)","('Are there any person?', 0.93)","('Were people there?', 0.92)","('Is there any human?', 0.92)","('Is there some people?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
