,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
12,"('Which drink is shown?', 0.95)","('What drink is indicated?', 0.94)","('What drink is represented?', 0.94)","('What drinks are shown?', 0.94)","('What kind of drink is presented?', 0.94)","('What drinking is shown?', 0.93)","('What drinking was shown?', 0.93)","('What drinks are indicated?', 0.92)","('What kind of drink is displayed?', 0.92)","('What drink are they showing?', 0.92)","('What kind of drinking is displayed?', 0.91)","('What kind of drink are you presenting?', 0.91)","(""What's the drink showing?"", 0.91)",,,,,,,,,,,,
13,"('Has the bear been seated?', 0.95)","('Does the bear sit down?', 0.95)","('Has the bear sat down?', 0.93)",,,,,,,,,,,,,,,,,,,,,,
14,"('Did he cook at home?', 0.95)","('Is this man home cooking?', 0.95)","('Does the man cook a meal at home?', 0.95)","('Was the man making cooking at home?', 0.95)","('This man cooks at home?', 0.94)","('Is this guy cooking in the house?', 0.94)","('Does this person cook at home?', 0.91)",,,,,,,,,,,,,,,,,,
15,"('On what do the men sit?', 0.95)","('On what do these men sit?', 0.95)","('What were the men sitting?', 0.95)","('What are the men who were seated on?', 0.94)","('For what are men sitting?', 0.94)","('What are men sitting with him?', 0.94)","('On what are those men seated?', 0.94)","('What are the men sitting down?', 0.94)","('What are the men sitting in?', 0.93)","('On what were these men seated?', 0.93)","('On what did the men sit?', 0.93)","('What men are seated?', 0.92)","('What are the men who sit down?', 0.92)","('What were the men sitting down?', 0.92)","('What were the men seated?', 0.92)","('What are those men sitting down?', 0.92)","('What are these men sitting down?', 0.92)","('Where are the men sitting?', 0.92)","('What are the men sitting about?', 0.92)","('Where do men sit down?', 0.91)","('What are men sitting in front of us?', 0.91)","('Where are the men seated?', 0.91)","('What were the men sitting there?', 0.91)","('What were men sitting there?', 0.91)","('To what were those men seated?', 0.91)"
16,"('What is that time?', 0.94)","('What is the time?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,
17,"('Who are the men black men?', 0.95)","('Who were these black men?', 0.95)","(""Who's the man in black?"", 0.95)","('Who were black men?', 0.95)","('Who are the men among the black people?', 0.93)",,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,
19,"('Are the street lamps on?', 0.92)","('Are the street lights on?', 0.92)","('Is the streetlight on?', 0.91)","('Are the streetlights on?', 0.91)",,,,,,,,,,,,,,,,,,,,,
20,"('What color is the male jacket?', 0.95)","('What is the color of the male jacket?', 0.94)","('What color is the jacket man?', 0.94)","('What color is the jacket?', 0.93)","('What color is that jacket?', 0.92)","(""What color is the man's coat?"", 0.91)",,,,,,,,,,,,,,,,,,,
21,"('What food is shown?', 0.95)","('What kind of food is shown?', 0.94)","('Which food item will be shown?', 0.94)","('What food is represented?', 0.93)","('What food was shown?', 0.93)","('What food is presented?', 0.93)","('What food element is shown?', 0.92)","('What food is indicated?', 0.92)","('What food is being shown?', 0.91)","('What food is mentioned?', 0.91)","('What food was manifested?', 0.91)",,,,,,,,,,,,,,
22,"('Does the dog have a dog?', 0.95)","('Is there a dog in it?', 0.95)","('Is a dog?', 0.95)","('Do you have a dog?', 0.95)","(""Isn't there a dog?"", 0.94)","('Does he have a dog?', 0.94)","('Is there a dogs?', 0.94)","('Is there a dog in there?', 0.93)","('Are there dogs?', 0.93)","('Is the dog?', 0.92)",,,,,,,,,,,,,,,
23,"('Is it a professional athlete?', 0.95)","('Is that a professional athlete?', 0.94)","('Are you a professional athlete?', 0.92)",,,,,,,,,,,,,,,,,,,,,,
24,"(""What is in a baby's neck?"", 0.95)","(""What's with the baby's neck?"", 0.94)","(""What's around the child's neck?"", 0.94)","(""What is there about a baby's neck?"", 0.94)","(""What's the baby's neck?"", 0.94)","(""What is around the child's neck?"", 0.94)","(""What was there about the infant's neck?"", 0.94)","(""What is involved in the baby's neck?"", 0.93)","(""What is on the child's neck?"", 0.93)","(""What is about the child's neck?"", 0.92)","(""What is in the child's neck?"", 0.92)","(""What's on the kid's neck?"", 0.92)","('What is the neck of the baby?', 0.92)","('What is it that is all around the neck of the baby?', 0.92)","(""What surrounds a child's neck?"", 0.92)","(""What surrounded the child's neck?"", 0.92)","(""What is next to the child's neck?"", 0.91)","(""What is happening to the baby's neck?"", 0.91)","(""What is the child's neck?"", 0.91)","(""What is on a child's neck?"", 0.91)","(""What happens to the baby's neck?"", 0.91)","(""What is involved in the child's neck?"", 0.91)",,,
25,"(""What's on the man's neck?"", 0.95)","(""What is in the man's neck?"", 0.95)","(""What surrounds this man's neck?"", 0.95)","(""What was on the man's neck?"", 0.95)","(""What is here on the man's neck?"", 0.95)","(""What's on that guy's neck?"", 0.94)","(""What surrounded the man's neck?"", 0.94)","(""What is it about the man's neck?"", 0.94)","(""What is in man's neck?"", 0.93)","(""What is next to the man's neck?"", 0.93)","(""What is a man's neck?"", 0.92)","(""What's with the man's neck?"", 0.92)","(""What's the man's neck?"", 0.92)","('What does the man do on his neck?', 0.92)","(""What features of the man's neck?"", 0.92)","(""What is the man's neck?"", 0.92)","(""What is this man's neck?"", 0.92)","(""What's on his neck?"", 0.92)","(""What was the man's neck?"", 0.91)","(""What's that man got on his neck?"", 0.91)","(""What about the man's neck?"", 0.91)",,,,
26,"('Is that like an airplane?', 0.95)","('Is it an airplane?', 0.95)","('Was this a plane in the image?', 0.95)","('Is this a plane on the image?', 0.94)","('Is it a plane in the picture?', 0.94)","('Is that a plane in the picture?', 0.94)","('Does that airplane operate in the picture?', 0.94)","('Was it a plane on the image?', 0.94)","('Is this a plane on the picture?', 0.94)","('Was the plane in the image?', 0.94)","('Is that a plane on the picture?', 0.94)","('Is it a plane in the image?', 0.93)","('Is it the plane in the picture?', 0.93)","('Is that the plane in the picture?', 0.93)","('Is that a plane in the image?', 0.93)","('Is he an airplane in the image?', 0.93)","('Is this a plane in the image?', 0.93)","('Is that a plane in that image?', 0.93)","('Is the plane in the image?', 0.92)","('Is that a picture of a plane?', 0.92)","('Is it the plane in the image?', 0.92)","('Is there a plane in the image?', 0.92)","('Is that what the plane is in the image?', 0.91)","('Is it a photo - like airplane?', 0.91)","('Is that a plane?', 0.91)"
27,"(""What is the boy's hand?"", 0.95)","(""What is in the boy's hand?"", 0.94)","(""What is at the boy's hand?"", 0.94)","(""What about the boy's hand?"", 0.94)","(""What was the boy's hand?"", 0.94)","(""What's in the boy's hand?"", 0.94)","(""What's at the boy's hand?"", 0.93)","(""What was in the boy's hand?"", 0.93)","(""What is this young man's hand?"", 0.91)","(""What's over the boy's hand?"", 0.91)",,,,,,,,,,,,,,,
28,"('Are there bicycles in there?', 0.95)","('Is there bicycle?', 0.92)","('Are there bikes?', 0.92)","('Is there bikes?', 0.92)","('Is there a bicycle?', 0.91)",,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,
30,"('Is there any stone behind the bear?', 0.94)","('Is there a stone behind the bear?', 0.93)","('Are There Stones for the Bear?', 0.93)",,,,,,,,,,,,,,,,,,,,,,
31,"('Do they compete against one another?', 0.95)","('Do they seem to be competing with each other?', 0.94)","('Are they like to compete against each other?', 0.94)","('Do they seem to be competing?', 0.93)","(""Does it look like they're competing with each other?"", 0.93)","('Do they seem to be competing with one another?', 0.92)","(""Does it sound like they're competing with each other?"", 0.91)",,,,,,,,,,,,,,,,,,
32,"('Is the website a sponsor of this game?', 0.95)","('Does the website sponsor this game?', 0.95)","('A website sponsors this game?', 0.94)","('The website is sponsoring this game?', 0.94)","('Is this game sponsoring website?', 0.94)","('Does this game sponsor a website?', 0.94)","('Do website sponsor this game?', 0.93)","('Is this a sponsored website for this game?', 0.92)","('Is it a website that sponsors this game?', 0.92)","('Are we sponsoring this game on the website?', 0.92)","('Is there a website that sponsored this game?', 0.91)",,,,,,,,,,,,,,
33,"(""What is the court's color?"", 0.95)","('What color is there in the court?', 0.95)","('What was the color of the court?', 0.95)","('What is the court color?', 0.94)","('What color did the court have?', 0.94)","('What color is the court color?', 0.93)","('What color does the court represent?', 0.93)","('What is this court color?', 0.92)","('What was the color of the courts?', 0.91)",,,,,,,,,,,,,,,,
34,"('What is the color of the plant?', 0.95)","('What is the colour of the plants?', 0.94)","('What colour is a plant?', 0.92)",,,,,,,,,,,,,,,,,,,,,,
35,"('Does he sleep?', 0.95)","('Is he asleep?', 0.94)","('Did he sleep?', 0.93)","('Was he asleep?', 0.93)","('Did man fall asleep?', 0.93)","('Is the person sleeping?', 0.91)",,,,,,,,,,,,,,,,,,,
36,"('Would that be considered an old fashioned bathroom?', 0.95)","('Could it be considered an old bathroom?', 0.95)","('Is it considered an old bathroom?', 0.95)","('Would this be considered an old fashion bath room?', 0.94)","('Will it be considered an old fashion bathtub?', 0.93)","('Would this be viewed as an old fashion toilet?', 0.93)","('Was it an old bathroom?', 0.93)","('Would this be an old fashion bath room?', 0.92)","('Would this be considered an old fashion bath?', 0.91)",,,,,,,,,,,,,,,,
37,"(""Who's that cat?"", 0.93)","('What cat?', 0.93)","('Is that a cat?', 0.93)","('What kind of cats?', 0.92)","(""Who's the cat?"", 0.92)",,,,,,,,,,,,,,,,,,,,
38,"(""What's the color of bear apron?"", 0.94)","('What color is the bear apron?', 0.94)","('What is the color of the apron bears?', 0.94)","('What color is the apron of bears?', 0.94)","(""What's the colour of the bear apron?"", 0.93)","('What is the colour of the bear apron?', 0.93)","('What is the colour of the apron for bears?', 0.93)","(""What color is the bear's apron?"", 0.93)","('What color is a bear apron?', 0.92)","('What is the color of the apron bear?', 0.91)",,,,,,,,,,,,,,,
39,"('Are the windows open to the building?', 0.95)","('Are building windows open?', 0.93)","('Are the windows open?', 0.92)","('Is the windows open?', 0.92)","('Were the windows open?', 0.92)","('Is the windows of the hall open?', 0.92)","('Are windows open?', 0.91)","('Are the windows of the construction work open?', 0.91)",,,,,,,,,,,,,,,,,
40,"('Where is the mirror located?', 0.93)","('Where does the mirror contain a mirror?', 0.92)","('What is the mirror?', 0.92)","('Where do you find a mirror?', 0.91)",,,,,,,,,,,,,,,,,,,,,
41,"('Does this be a real picture?', 0.95)","('Is this image real?', 0.95)","('Is the image real?', 0.95)","('Is that real picture?', 0.94)","('Is this picture true?', 0.91)",,,,,,,,,,,,,,,,,,,,
42,"(""What's entangled in the sandwich?"", 0.91)","(""What's involved in the sandwich?"", 0.91)","(""What's around the sandwich?"", 0.91)",,,,,,,,,,,,,,,,,,,,,,
43,"('What does the cat do?', 0.95)","('What did the cat do?', 0.94)","('What are the cats doing?', 0.93)","('What is the cat to do?', 0.93)","('What cat is the cat?', 0.92)",,,,,,,,,,,,,,,,,,,,
44,"('Is the child wearing stripes?', 0.95)",,,,,,,,,,,,,,,,,,,,,,,,
45,"(""What's the girl standing at?"", 0.95)","(""What's she standing on?"", 0.95)","('What was the girl standing?', 0.94)","('What is the woman standing?', 0.94)","('What is the girl standing before?', 0.93)","(""What's the girl standing in?"", 0.92)","(""Who's the girl standing?"", 0.92)","('On what was she standing?', 0.91)","('On whom does this girl stand?', 0.91)","('What girl was standing there?', 0.91)",,,,,,,,,,,,,,,
46,"('Are there any people here?', 0.95)","('Is there people?', 0.94)","('Is there a people?', 0.94)","('Are there people there?', 0.94)","('Are there some people?', 0.93)","('Are there any person?', 0.93)","('Were people there?', 0.92)","('Is there any human?', 0.92)","('Is there some people?', 0.91)",,,,,,,,,,,,,,,,
47,"(""What's the couch fabric?"", 0.92)","('What pattern is the couch cloth?', 0.92)","('Which pattern is the fabric of the sofa?', 0.91)",,,,,,,,,,,,,,,,,,,,,,
48,"('How much bananas are there in this situation?', 0.94)",,,,,,,,,,,,,,,,,,,,,,,,
49,"('What is this kind of area?', 0.95)","('What is the area?', 0.93)","('What is that area?', 0.93)","('What is this area?', 0.92)","(""What's this area?"", 0.92)","('Which area is that?', 0.91)",,,,,,,,,,,,,,,,,,,
50,"('What did the expression on the front of the bus mean?', 0.95)","('What does that word mean on the front of a bus?', 0.95)","('What does that word mean at the front of the bus?', 0.94)",,,,,,,,,,,,,,,,,,,,,,
51,"('What does elephant do?', 0.94)","('What is the elephant to do?', 0.92)","('What should an elephant do?', 0.91)",,,,,,,,,,,,,,,,,,,,,,
52,"('Was there a blue shirt?', 0.95)","('Does anyone use a blue shirt?', 0.94)","('Is there someone dressed in a blue shirt?', 0.94)","('Does anyone wear blue shirts?', 0.94)","('Was he wearing a blue shirt?', 0.94)","('Is there anyone wearing blue?', 0.93)","('Is anyone wearing blue clothing?', 0.93)","('Is anyone wearing a blue garment?', 0.92)","('Anybody got a blue shirt?', 0.92)","('Was anyone wearing a blue garment?', 0.91)","('Does anyone wear blue clothing?', 0.91)",,,,,,,,,,,,,,
53,"('Is this baseball territory?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,
54,"('What is this room?', 0.95)","('What is the room?', 0.95)","(""What's this room?"", 0.95)","('What is that room?', 0.95)","('Such a room?', 0.91)","('What about this room?', 0.91)",,,,,,,,,,,,,,,,,,,
55,"('What color is the top of the table?', 0.95)","('What color is on the top of the table?', 0.93)","('What color is on top of the table?', 0.93)","('What color is the top table?', 0.93)","('What is the color on the top of the table?', 0.92)",,,,,,,,,,,,,,,,,,,,
56,"('What colors do zebras have?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,
57,"('What trick does he make?', 0.95)","('What kind of trick does he do?', 0.95)","('What kind of trick did he do?', 0.94)","('What trick does he employ?', 0.94)","('What trick are you doing?', 0.93)","('What trick does it do?', 0.92)","('What trick does it make?', 0.91)",,,,,,,,,,,,,,,,,,
58,"('Will the man get hurt?', 0.94)","('Is he gonna get hurt?', 0.92)","('Is the man soon to get hurt?', 0.91)",,,,,,,,,,,,,,,,,,,,,,
59,"('Does this baseball player have a bat in his hand?', 0.95)","('Is this baseball player a bat holding?', 0.95)","('Is this baseball player with a bat in hand?', 0.95)","('Is the baseball player wearing a bat?', 0.94)","('Does the baseball player have a bat?', 0.94)","('Does this baseball player have a bat?', 0.94)","('Does that baseball player have a bat?', 0.93)","('Did this baseball player have a bat?', 0.93)","('Is the baseball player having a bat?', 0.93)","('Is this baseball bat holding player?', 0.91)",,,,,,,,,,,,,,,
60,"('Is the hospital?', 0.95)","('Is this in the hospital?', 0.95)","(""It's a hospital?"", 0.95)","('Was this in the hospital?', 0.94)","('Is it in the hospital?', 0.93)","('Does that mean that in the hospital?', 0.93)","('Is the hospital the hospital mentioned?', 0.92)","('Does this mean that we are in a hospital?', 0.92)","('Is that just a hospital?', 0.92)",,,,,,,,,,,,,,,,
61,"('What bank sponsors the place?', 0.94)","('Which bank is sponsoring the place?', 0.94)","('Which bank is sponsoring the location?', 0.93)","('What bank sponsors this place?', 0.93)","('Which bank is sponsoring this place?', 0.93)","('Which bank sponsors this place?', 0.93)","('Which bank sponsors the place?', 0.93)","('Which bank sponsors the location?', 0.92)",,,,,,,,,,,,,,,,,
62,"('What color are the light of traffic light?', 0.94)","('What colour are the traffic lights?', 0.94)","('What colors do traffic lights have?', 0.94)","('What colour are traffic lights?', 0.93)","('What color do road lights have?', 0.91)",,,,,,,,,,,,,,,,,,,,
63,"('What is the colour of the sink?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,
64,"('What type of game is it?', 0.95)","('What was this game?', 0.95)","('Which game is it?', 0.94)","(""What's the game?"", 0.93)","('What was this a game?', 0.92)","('Which game?', 0.92)",,,,,,,,,,,,,,,,,,,
65,"(""What's he catching?"", 0.95)",,,,,,,,,,,,,,,,,,,,,,,,
66,"('How many humans are in this image?', 0.93)","('How many humans are on this image?', 0.93)","('How many humans are in the image?', 0.92)","('How many people are there?', 0.91)","('How do many people in the image?', 0.91)",,,,,,,,,,,,,,,,,,,,
67,"('What about the weather in the picture?', 0.95)","('What is the weather like in the illustration?', 0.94)","('What is the weather as a picture?', 0.94)","('What is the weather situation in the picture?', 0.94)","('What does the weather look like?', 0.94)","('What is the condition of the weather in the picture?', 0.92)","('What is the weather like?', 0.92)","('How is the weather like the picture?', 0.92)","('How is the weather in the picture?', 0.91)",,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,
69,"(""What kind are the catcher's shoes?"", 0.95)","('What make are catcher shoes?', 0.93)","(""What's the name of the catcher's shoes?"", 0.92)","(""What is the mark of the catcher's shoes?"", 0.91)",,,,,,,,,,,,,,,,,,,,,
70,"(""What's the man holding in the red shirt?"", 0.94)","(""What's that guy holding in the red shirt?"", 0.94)","(""What's the guy holding in the red shirt?"", 0.94)","(""What's a man holding in a red shirt?"", 0.92)","('What does the man hold in the red shirt?', 0.91)",,,,,,,,,,,,,,,,,,,,
71,"('How tall is the plane in the sky?', 0.94)","('How high is an airplane?', 0.94)","('How high is the plane in heaven?', 0.93)",,,,,,,,,,,,,,,,,,,,,,
72,"('Is the giraffe longer than the trees?', 0.95)","('Is the giraffe longer than trees?', 0.95)","('Is the higher than giraffe trees?', 0.92)","('A giraffe longer than a tree?', 0.92)",,,,,,,,,,,,,,,,,,,,,
73,"(""How's the green food on the plate?"", 0.95)","('What is the green dish on the plate?', 0.93)","('What is the green food on the table?', 0.93)","('What is a green dish on the plate?', 0.92)","('What is green food on the dish?', 0.92)","('What is the green food at the dish?', 0.91)",,,,,,,,,,,,,,,,,,,
74,"('The cows eat the grass?', 0.95)","('Did the cows eat grass?', 0.95)","('Do cows eat grass?', 0.92)","('Cows eat grass?', 0.91)",,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,
76,"('Six birds or 12 birds?', 0.95)","('6 or 12 birds?', 0.94)",,,,,,,,,,,,,,,,,,,,,,,
77,"('How many windows do you find?', 0.95)","('How many windows do you have?', 0.95)","('How do you notice many windows?', 0.94)","('The amount of windows you see?', 0.93)","('How many windows do you think?', 0.93)",,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,
79,"('Why do men in suits have so much weight?', 0.94)","('Why are people in suits so overweight?', 0.94)","('Why are the suits so overweight?', 0.93)","('Why are men in suits so obese?', 0.92)","('Why are the men in suits so heavy?', 0.92)",,,,,,,,,,,,,,,,,,,,
80,"('How much fruit is there on this plate?', 0.95)","('How much fruit is there in this plate?', 0.94)","('How much fruit is in this plate?', 0.94)","('How much fruit is available in this plate?', 0.94)","('How much fruit is on this plate?', 0.94)","('How many fruits are there on this dish?', 0.93)","('How much fruit is available on the plate?', 0.93)","('How many fruits are contained on this table?', 0.92)","('How much fruit is found on the plates?', 0.92)","('How many fruits do they contain?', 0.91)","('How much fruit does this plate produce?', 0.91)","('How much fruit is produced in this plates?', 0.91)","('How many fruits are there?', 0.91)","('How many fruits are on this fruit?', 0.91)",,,,,,,,,,,
81,"('What color decorated the cake?', 0.95)","('What colors are used to adorn cake?', 0.95)","('What color adorns the cake?', 0.94)","('What colors do you make for the cake?', 0.94)","('What color the cake?', 0.93)","('What color are they to decorate the cake?', 0.92)","('What color do the cake have?', 0.92)","('What color color is made up of the cake?', 0.91)","('What color does the cake represent?', 0.91)","('What is the color of the cake?', 0.91)","('What color is the cake?', 0.91)",,,,,,,,,,,,,,
82,"('How many pillows are views?', 0.95)","('How many pillows are there?', 0.94)","('How many pillows can be found?', 0.93)",,,,,,,,,,,,,,,,,,,,,,
83,"('What kind of animal is at the scene?', 0.95)","('What kind of animal is in the picture?', 0.94)","('What kind of animal is on the scene?', 0.93)","('What kind of animal is in the sight?', 0.93)",,,,,,,,,,,,,,,,,,,,,
84,"('How many boats is the water?', 0.95)","('How many boats does water contain?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,
85,"(""What's that woman taking pictures of?"", 0.95)","('What does the woman taking the picture represent?', 0.92)","('What is the woman taking photos?', 0.92)","('Did the woman take pictures?', 0.91)","('What is the woman who takes the picture?', 0.91)",,,,,,,,,,,,,,,,,,,,
86,"('Is this professional baseball player?', 0.95)","('Are the baseball players professional?', 0.94)",,,,,,,,,,,,,,,,,,,,,,,
87,"('Is that sweet food?', 0.95)","('This food is sweet?', 0.95)","('Was that sweet meal good?', 0.94)","('Was this meal sweet?', 0.94)","('Is that piece of food sweet - inspiring?', 0.94)","('Is this meal sweet?', 0.94)",,,,,,,,,,,,,,,,,,,
88,"('Is that a modest woman?', 0.95)","('Was this modest woman?', 0.94)","('Is this woman modest?', 0.94)","('Would this girl be modest?', 0.93)","('Was this modest woman a modest woman?', 0.93)","('Was she modest?', 0.91)",,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,
90,"(""What's the book in?"", 0.94)","(""What's the book about?"", 0.93)","('What is the book about?', 0.93)","(""What's the book?"", 0.93)","(""What's that book about?"", 0.92)","('What Is the Book?', 0.92)","('What is the book?', 0.92)","('What book?', 0.92)","(""What's this book?"", 0.91)","('What is that book?', 0.91)",,,,,,,,,,,,,,,
91,"('Is there a phone call on the table?', 0.94)","('Is there a telephone on the table?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,
93,"('Is there someone alone?', 0.95)",,,,,,,,,,,,,,,,,,,,,,,,
94,"('Is this 1 color train?', 0.95)","('Is the color 1 train?', 0.95)","('Does the train represent 1 color?', 0.95)","('Does the train have 1 - color color?', 0.95)","('Is the train color 1?', 0.95)","('Is it a 1 color train?', 0.94)","('1 Is the train color?', 0.94)","('Is it a 1-color train?', 0.94)","('Is it the color of the train 1?', 0.94)","('1 is the color of the train?', 0.93)","('Is train 1 colored?', 0.93)","('Is the train made up of 1 colors?', 0.93)","('Does the train have 1 colors?', 0.93)","('Did the train have 1 colors?', 0.92)","('Train 1 color?', 0.91)",,,,,,,,,,
95,"('Did the flowers open?', 0.95)","('Is the open flowers?', 0.94)","('Will the flowers open?', 0.94)","('Are the flowers opened?', 0.93)","('Do flowers open?', 0.92)","('Are these flowers opened?', 0.92)","('Is flowers opened?', 0.91)","('Are flowers opened?', 0.91)",,,,,,,,,,,,,,,,,
96,"('What color is the sweater?', 0.95)","('What color is that sweater?', 0.94)","('What color brings the sweater that the person wears?', 0.94)","(""What color is that guy's sweater he's wearing?"", 0.93)","('What color sweater is she wearing?', 0.92)",,,,,,,,,,,,,,,,,,,,
97,"('What is the color jacket of the wearing boy?', 0.95)","('What colored jacket did the boy wear?', 0.94)","('What color coat is the boy wearing?', 0.93)","('What color coat is that boy wearing?', 0.92)","('Which color coat does the boy wear?', 0.91)",,,,,,,,,,,,,,,,,,,,
98,"('What was the color of that bowl?', 0.95)","('What is the colour of the bowl?', 0.93)",,,,,,,,,,,,,,,,,,,,,,,
99,"('Does a bear stand on the ice?', 0.95)","('Does the bear stand on the ice?', 0.95)","('Is the bear on ice?', 0.94)","('Is the stand bear on ice?', 0.93)","('Is the bear standing on the top of the ice?', 0.92)",,,,,,,,,,,,,,,,,,,,
